TSTEP,Rh_litter,Rh_soil,Rh_total,C_litter,C_soil,C_total
3762,1.5152512,1.6449456,3.1601968,4.4137974,21.277931,25.691729
3763,1.4836584,1.6593219,3.1429803,4.412258,21.277863,25.69012
3764,1.4650627,1.6145338,3.0795965,4.410755,21.277822,25.688578
3765,1.3456405,1.4990898,2.8447304,4.4095,21.277771,25.687271
3766,1.336091,1.4589872,2.7950783,4.408264,21.27775,25.686014
3767,1.2182523,1.3535849,2.5718372,4.4072742,21.277708,25.684982
3768,1.411807,1.4640723,2.8758793,4.4058857,21.277765,25.683651
3769,1.771263,1.7789916,3.5502546,4.4037514,21.277899,25.68165
3770,1.9147878,2.1813803,4.096168,4.401327,21.277786,25.679113
3771,1.8429847,2.4512448,4.2942295,4.3990593,21.277327,25.676386
3772,2.6792934,2.5578578,5.237151,4.3950443,21.277678,25.672722
3773,2.0463743,2.2537913,4.3001657,4.392351,21.277649,25.67
3774,2.1923957,2.2301855,4.422581,4.3893585,21.277807,25.667166
3775,2.157676,2.3430102,4.500686,4.386442,21.277819,25.66426
3776,1.7737067,2.090124,3.8638306,4.3843327,21.277666,25.661999
3777,1.733212,2.0736804,3.8068924,4.382313,21.277489,25.659801
3778,1.1530954,1.5450569,2.6981523,4.3815136,21.277205,25.658718
3779,1.2164838,1.4826968,2.6991806,4.380581,21.277054,25.657635
3780,1.0744385,1.4067653,2.4812038,4.3799515,21.276825,25.656776
3781,1.3290817,1.498897,2.8279786,4.378792,21.276783,25.655575
3782,1.5486163,1.6426879,3.1913042,4.3771687,21.276844,25.654013
3783,2.1429002,2.057309,4.200209,4.374304,21.277147,25.651451
